clean_text,label,airline_sentiment,tweet_created,airline,retweet_count
said,1,neutral,2015-02-24 19:35:52+00:00,Virgin America,0
plus added commercials experience tacky,2,positive,2015-02-24 19:15:59+00:00,Virgin America,0
didn today must mean need take another trip,1,neutral,2015-02-24 19:15:48+00:00,Virgin America,0
really aggressive blast obnoxious entertainment guests faces little recourse,0,negative,2015-02-24 19:15:36+00:00,Virgin America,0
really big bad thing about,0,negative,2015-02-24 19:14:45+00:00,Virgin America,0
seriously pay flight seats didn playing really only bad thing about flying,0,negative,2015-02-24 19:14:33+00:00,Virgin America,0
yes nearly every time fly ear worm won away,2,positive,2015-02-24 19:13:57+00:00,Virgin America,0
really missed prime opportunity men without hats parody,1,neutral,2015-02-24 19:12:29+00:00,Virgin America,0
well didn now,2,positive,2015-02-24 19:11:19+00:00,Virgin America,0
amazing arrived hour early too good,2,positive,2015-02-24 18:53:27+00:00,Virgin America,0
know suicide second leading cause death among teens,1,neutral,2015-02-24 18:48:24+00:00,Virgin America,0
pretty graphics much better than minimal iconography,2,positive,2015-02-24 18:30:40+00:00,Virgin America,0
such great deal already thinking about trip haven even gone trip yet,2,positive,2015-02-24 18:30:06+00:00,Virgin America,0
flying fabulous seductive skies again take stress away travel,2,positive,2015-02-24 18:21:28+00:00,Virgin America,0
thanks,2,positive,2015-02-24 18:15:29+00:00,Virgin America,0
sfo pdx schedule still mia,0,negative,2015-02-24 18:01:50+00:00,Virgin America,0
excited first cross country flight lax mco heard nothing great things about virgin america daystogo,2,positive,2015-02-24 17:42:59+00:00,Virgin America,0
flew nyc sfo last week couldn fully sit seat due two large gentleman either side help,0,negative,2015-02-24 17:39:46+00:00,Virgin America,0
flying,2,positive,2015-02-24 17:15:00+00:00,Virgin America,0
know amazingly awesome bos fll please want fly only,2,positive,2015-02-24 17:04:10+00:00,Virgin America,0
why first fares over three times than other carriers seats available select,0,negative,2015-02-24 16:55:56+00:00,Virgin America,0
love graphic,2,positive,2015-02-24 16:49:01+00:00,Virgin America,0
love hipster innovation feel good brand,2,positive,2015-02-24 16:30:15+00:00,Virgin America,0
making bos las non stop permanently anytime soon,1,neutral,2015-02-24 16:27:52+00:00,Virgin America,0
guys messed seating reserved seating friends guys gave seat away want free internet,0,negative,2015-02-24 16:18:51+00:00,Virgin America,0
status match program applied three weeks called emailed response,0,negative,2015-02-24 15:49:15+00:00,Virgin America,0
happened vegan food options least say site know won able eat anything next hrs fail,0,negative,2015-02-24 15:11:37+00:00,Virgin America,0
miss don worry together soon,1,neutral,2015-02-24 13:44:59+00:00,Virgin America,0
amazing any cold air vents noair worstflightever roasted sfotobos,0,negative,2015-02-24 13:05:28+00:00,Virgin America,0
lax ewr middle seat red eye such noob maneuver sendambien andchexmix,1,neutral,2015-02-24 07:34:30+00:00,Virgin America,0
bked cool birthday trip add elevate cause entered middle name during flight booking problems,0,negative,2015-02-24 06:52:29+00:00,Virgin America,0
hours operation club sfo posted online current,1,neutral,2015-02-24 05:35:43+00:00,Virgin America,0
help left expensive headphones flight iad lax today seat one answering number lax,0,negative,2015-02-24 05:10:41+00:00,Virgin America,0
awaiting return phone call prefer use online self service option,0,negative,2015-02-24 04:55:30+00:00,Virgin America,0
great news america start flights hawaii end year,2,positive,2015-02-24 04:24:33+00:00,Virgin America,0
nice vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience,1,neutral,2015-02-24 02:46:00+00:00,Virgin America,0
moodlighting only way fly best experience ever cool calming moodlitmonday,2,positive,2015-02-24 02:43:35+00:00,Virgin America,0
done done best airline around hands down,2,positive,2015-02-24 02:19:47+00:00,Virgin America,0
book flight hawaii,1,neutral,2015-02-24 01:54:09+00:00,Virgin America,0
chat support working site,0,negative,2015-02-24 01:41:58+00:00,Virgin America,0
view downtown los angeles hollywood sign beyond rain mountains,2,positive,2015-02-24 01:32:54+00:00,Virgin America,0
hey first time flyer next week excited having hard time getting flights added elevate account help,0,negative,2015-02-24 01:00:40+00:00,Virgin America,0
plz help win bid upgrade flight lax sea,1,neutral,2015-02-24 00:24:11+00:00,Virgin America,0
unused ticket moved new city don fly fly before expires travelhelp,1,neutral,2015-02-24 00:20:38+00:00,Virgin America,0
flights leaving dallas seattle time feb,1,neutral,2015-02-24 00:13:09+00:00,Virgin America,0
elevategold good reason rock,2,positive,2015-02-24 00:08:07+00:00,Virgin America,0
dream,1,neutral,2015-02-24 00:04:28+00:00,Virgin America,0
wow blew mind,2,positive,2015-02-24 00:01:25+00:00,Virgin America,0
after last night tribute soundofmusic oscars think agree,1,neutral,2015-02-24 00:01:17+00:00,Virgin America,0
entertaining,1,neutral,2015-02-23 23:58:00+00:00,Virgin America,0
flight way supposed take off minutes ago website still shows time flight thanks,1,neutral,2015-02-23 23:55:18+00:00,Virgin America,0
